@RELATION leeds

@ATTRIBUTE text   string
@ATTRIBUTE class  {CH,IS,EA,HD,BU,JU,OT,GE}

@DATA
" F74 Lutheran Church Augsburg Confession", CH
" F75 Swiss Confederation", CH
" F753 Zwingli", CH
" F755 Bullinger", CH
" F77 Geneva", CH
" F773 Calvin", CH
" F775 Beza", CH
" F78 Other countries", CH
" F79 Sects", CH
" F791 Karlstadt", CH
" F793 Müntzer", CH
" F795 Baptists and Anabaptists", CH
" F797 Socinians and other antiTrinitarians", CH
" F8 Protestant and Reformed Churches", CH
" F85 Before 1600", CH
" F86  17th century", CH
" F87  18th century", CH
" F88  19th century", CH
" F89  20th century", CH
" F895 21st century", CH
" F9 Roman Catholic", CH
" F91  Trent1600", CH
" F92  1718th centuries", CH
" F93  19th century", CH
" F97  20th century", CH
" F98  21st century", CH
" F10  Other churches eg Armenian Coptic Syrian", CH
" F11  Contemporary theology from 1970 Liberation theology feminist theology etc", CH
" G0 General", CH
" H0 General", CH
" H1 Worship and liturgies", CH
" H104 Bibliography", CH
" H2  Missions", CH
" H3  Spirituality  mysticism", CH
" H304  Bibliography", CH
" H35  Individual mystics  spiritual writers", CH
" H5 Church organization including management leadership", CH
" H7  Pastoral activities", CH
" H8  Preaching", CH
" H9  Moral theology", CH
" J0 Comparative religion relations of Christianity and other religions", OT
" J1 Judaism", JU
" J11 Theology", JU
" J12 Philosophy", JU
" J13 Liturgies Synagogues Rabbis", JU
" J14 Religious practices Devotion", JU
" J15 Spirituality  mysticism", JU
" J16 Sects", JU
" J17 History of Judaism", JU
" J18 Judaism in relation to other religions", JU
" J2 Islam", IS
" J21 Quran Hadith", IS
" J22 Theology", IS
" J23 Sufism", IS
" J238 Other mystics", IS
" J24 Religious practices devotion", IS
" J25 Sects", IS
" J252 Individual sects", IS
" J255 Shiah", IS
" J28 Social institutions  culture", IS
" J3 Iranian religions eg Mithras", OT
" J36 Zoroaster", OT
" J4 Gnosticism Mandaeism Manichaeism", OT
" J5 Asian religions", OT
" J53 Parseeism", OT
" J54 Jainism", OT
" J55 Sikhism", OT
" J6 Hinduism", HD
" J61 History", HD
" J62 Classical texts and commentaries", HD
" J63 Theology and philosophy", HD
" J64 Social institutions and culture", HD
" J7 Buddhism", BU
" J71 History", BU
" J72 Texts and commentaries", BU
" J73 Buddhist thought", BU
" J74 Social institutions and culture", BU
" J8 Chinese religions Confucianism Taoism", OT
" J89 Other far eastern except Japanese", OT
" J9 Japanese religions Shinto etc see also Japanese L", OT
" J10 Bahai religion", JU
